0.10   1.0  3.4067E-01  2.9088E-01  3.2068E-01
0.11   1.0  3.4384E-01  2.8971E-01  3.2147E-01
0.12   1.0  3.4628E-01  2.8780E-01  3.2152E-01
0.13   1.0  3.4808E-01  2.8530E-01  3.2095E-01
0.14   1.0  3.4933E-01  2.8229E-01  3.1985E-01
0.15   1.0  3.5007E-01  2.7882E-01  3.1825E-01
0.16   1.0  3.5033E-01  2.7493E-01  3.1620E-01
0.17   1.0  3.5013E-01  2.7067E-01  3.1375E-01
0.18   1.0  3.4951E-01  2.6609E-01  3.1093E-01
0.19   1.0  3.4852E-01  2.6125E-01  3.0782E-01
0.20   1.0  3.4720E-01  2.5620E-01  3.0444E-01
0.21   1.0  3.4559E-01  2.5101E-01  3.0087E-01
0.22   1.0  3.4377E-01  2.4576E-01  2.9717E-01
0.23   1.0  3.4177E-01  2.4051E-01  2.9338E-01
0.24   1.0  3.3967E-01  2.3532E-01  2.8957E-01
0.25   1.0  3.3748E-01  2.3025E-01  2.8575E-01
0.26   1.0  3.3523E-01  2.2532E-01  2.8195E-01
0.27   1.0  3.3291E-01  2.2053E-01  2.7818E-01
0.28   1.0  3.3053E-01  2.1590E-01  2.7443E-01
0.29   1.0  3.2807E-01  2.1142E-01  2.7072E-01
0.30   1.0  3.2555E-01  2.0711E-01  2.6704E-01
0.31   1.0  3.2294E-01  2.0296E-01  2.6338E-01
0.32   1.0  3.2025E-01  1.9899E-01  2.5974E-01
0.33   1.0  3.1748E-01  1.9516E-01  2.5611E-01
0.34   1.0  3.1462E-01  1.9149E-01  2.5248E-01
0.35   1.0  3.1164E-01  1.8794E-01  2.4881E-01
0.36   1.0  3.0853E-01  1.8448E-01  2.4511E-01
0.37   1.0  3.0527E-01  1.8111E-01  2.4134E-01
0.38   1.0  3.0184E-01  1.7777E-01  2.3749E-01
0.39   1.0  2.9822E-01  1.7446E-01  2.3353E-01
0.40   1.0  2.9439E-01  1.7114E-01  2.2945E-01
0.41   1.0  2.9034E-01  1.6779E-01  2.2523E-01
0.42   1.0  2.8605E-01  1.6437E-01  2.2085E-01
0.43   1.0  2.8151E-01  1.6087E-01  2.1631E-01
0.44   1.0  2.7670E-01  1.5727E-01  2.1160E-01
0.45   1.0  2.7163E-01  1.5355E-01  2.0670E-01
0.46   1.0  2.6629E-01  1.4970E-01  2.0163E-01
0.47   1.0  2.6068E-01  1.4571E-01  1.9638E-01
0.48   1.0  2.5480E-01  1.4157E-01  1.9096E-01
0.49   1.0  2.4866E-01  1.3729E-01  1.8537E-01
0.50   1.0  2.4228E-01  1.3287E-01  1.7963E-01
0.51   1.0  2.3566E-01  1.2831E-01  1.7375E-01
0.52   1.0  2.2883E-01  1.2363E-01  1.6775E-01
0.53   1.0  2.2179E-01  1.1883E-01  1.6164E-01
0.54   1.0  2.1458E-01  1.1393E-01  1.5545E-01
0.55   1.0  2.0721E-01  1.0896E-01  1.4918E-01
0.56   1.0  1.9970E-01  1.0392E-01  1.4288E-01
0.57   1.0  1.9208E-01  9.8848E-02  1.3655E-01
0.58   1.0  1.8438E-01  9.3754E-02  1.3021E-01
0.59   1.0  1.7661E-01  8.8663E-02  1.2389E-01
0.60   1.0  1.6880E-01  8.3597E-02  1.1761E-01
0.61   1.0  1.6098E-01  7.8578E-02  1.1137E-01
0.62   1.0  1.5318E-01  7.3628E-02  1.0521E-01
0.63   1.0  1.4540E-01  6.8766E-02  9.9134E-02
0.64   1.0  1.3768E-01  6.4011E-02  9.3155E-02
0.65   1.0  1.3004E-01  5.9382E-02  8.7285E-02
0.66   1.0  1.2250E-01  5.4894E-02  8.1534E-02
0.67   1.0  1.1508E-01  5.0563E-02  7.5904E-02
0.68   1.0  1.0779E-01  4.6402E-02  7.0402E-02
0.69   1.0  1.0066E-01  4.2421E-02  6.5025E-02
0.70   1.0  9.3708E-02  3.8631E-02  5.9770E-02
0.71   1.0  8.6943E-02  3.5037E-02  5.4631E-02
0.72   1.0  8.0383E-02  3.1646E-02  4.9603E-02
0.73   1.0  7.4042E-02  2.8461E-02  4.4679E-02
0.74   1.0  6.7928E-02  2.5482E-02  3.9864E-02
0.75   1.0  6.2054E-02  2.2709E-02  3.5175E-02
0.76   1.0  5.6439E-02  2.0143E-02  3.0651E-02
0.77   1.0  5.1086E-02  1.7777E-02  2.6359E-02
0.78   1.0  4.5984E-02  1.5604E-02  2.2381E-02
0.79   1.0  4.1142E-02  1.3617E-02  1.8796E-02
0.80   1.0  3.6604E-02  1.1817E-02  1.5655E-02
0.81   1.0  3.2388E-02  1.0199E-02  1.2973E-02
0.82   1.0  2.8437E-02  8.7397E-03  1.0727E-02
0.83   1.0  2.4698E-02  7.4201E-03  8.8708E-03
0.84   1.0  2.1193E-02  6.2349E-03  7.3486E-03
0.85   1.0  1.8024E-02  5.1965E-03  6.1049E-03
0.86   1.0  1.5239E-02  4.3055E-03  5.0888E-03
0.87   1.0  1.2809E-02  3.5458E-03  4.2577E-03
0.88   1.0  1.0613E-02  2.8818E-03  3.5756E-03
0.89   1.0  8.5855E-03  2.2910E-03  3.0139E-03
0.90   1.0  6.7170E-03  1.7653E-03  2.5496E-03
0.91   1.0  5.0330E-03  1.3056E-03  2.1641E-03
0.92   1.0  3.5736E-03  9.1679E-04  1.8427E-03
0.93   1.0  2.3716E-03  6.0272E-04  1.5736E-03
0.94   1.0  1.4424E-03  3.6366E-04  1.3474E-03
0.95   1.0  7.8007E-04  1.9534E-04  1.1565E-03
0.96   1.0  3.5666E-04  8.8795E-05  9.9472E-04
0.97   1.0  1.2541E-04  3.1066E-05  8.5718E-04
0.98   1.0  2.7411E-05  6.7614E-06  7.3982E-04
0.99   1.0  1.8881E-06  4.6401E-07  6.3934E-04
1.00   1.0  0.0000E+00  0.0000E+00  5.5304E-04
0.10   1.1  3.4337E-01  2.9261E-01  3.2283E-01
0.11   1.1  3.4619E-01  2.9098E-01  3.2321E-01
0.12   1.1  3.4830E-01  2.8867E-01  3.2290E-01
0.13   1.1  3.4981E-01  2.8580E-01  3.2201E-01
0.14   1.1  3.5079E-01  2.8246E-01  3.2061E-01
0.15   1.1  3.5129E-01  2.7870E-01  3.1875E-01
0.16   1.1  3.5132E-01  2.7456E-01  3.1647E-01
0.17   1.1  3.5092E-01  2.7008E-01  3.1382E-01
0.18   1.1  3.5012E-01  2.6532E-01  3.1083E-01
0.19   1.1  3.4897E-01  2.6034E-01  3.0757E-01
0.20   1.1  3.4750E-01  2.5518E-01  3.0408E-01
0.21   1.1  3.4576E-01  2.4991E-01  3.0040E-01
0.22   1.1  3.4380E-01  2.4460E-01  2.9660E-01
0.23   1.1  3.4168E-01  2.3931E-01  2.9273E-01
